248,1434
248,1434
276,1434
276,1434
300,1434
300,1434
325,1438
325,1438
349,1446
349,1446
373,1446
373,1446
373,1446
373,1446
424,1429
424,1429
446,1422
477,1422
500,1425
531,1478
557,1687
582,1687
608,1689
633,1697
659,1697
684,1717
710,1735
736,1735
749,1701
774,1701
801,1702
825,1702
853,1703
881,1704
908,1704
931,1679
962,1686
985,1695
1010,1737
1036,1737
1057,1737
1086,1738
1114,1758
1141,1758
1168,1778
1191,1778
1219,1880
1246,1883
1272,1899
1294,1902
1323,1902
1348,1902
1351,1902
1382,1749
1415,1768
1454,1767
1475,1767
1517,1767
1550,1771
1565,1764
1565,1764
1607,1781
1625,1781
1659,1940
1684,1923
1706,1889
1730,1892
1768,1914
1780,1915
1803,1915
1844,1918
1858,1913
1892,1928
1915,1969
1931,1979
1973,2003
1991,2020
2021,2033
