312,425
336,426
363,983
387,983
414,982
439,983
464,982
489,975
516,986
542,989
567,1006
591,2004
617,2005
643,2003
669,1912
693,1912
718,1912
738,1915
771,1918
790,1935
824,1935
836,1935
860,1935
899,1935
919,1939
948,1930
969,1930
1001,1929
1013,1920
1059,1924
1075,1924
1079,1924
1129,1921
1151,1922
1167,1922
1208,1922
1234,1922
1264,1930
1264,1923
1264,1922
1264,1922
1353,1931
1369,1931
1384,1947
1424,1941
1459,1971
1483,1971
1511,2128
1535,1984
1562,1984
1601,1984
1614,1984
1638,1985
1660,1985
1684,1985
1707,1985
1740,1986
1765,2008
1788,2016
1814,2215
1835,2230
1867,2231
1885,2232
1921,2236
1944,2238
1971,2239
1996,2240
2020,2251
2052,2258
2075,2260
2104,2260
2128,2260
2160,2248
2177,2241
2208,2247
2231,2244
2269,2276
