233,1199
264,1212
294,1199
326,1199
327,1199
335,1227
389,1235
390,1247
407,2118
437,2119
460,2120
473,2120
536,2134
549,2135
587,2137
615,2138
643,2140
667,2141
692,2143
710,2143
735,2144
739,2144
784,2146
831,2148
841,2147
872,2152
893,2152
926,2152
946,2153
979,2153
1004,2153
1033,2158
1052,2158
1062,2158
1101,2160
1122,1793
1151,1792
1182,1790
1222,1843
1245,1843
1279,1843
1284,1807
1313,1878
1342,1877
1371,1898
1384,1898
1416,2016
1438,2017
1468,2021
1496,2021
1521,2021
1550,2048
1604,2048
1635,2048
1653,2048
1684,2048
1711,2047
1739,2047
1767,2067
1792,2062
1810,2076
1836,2087
1870,2087
1893,2087
1925,2130
1950,2130
1977,2130
1994,2160
2024,2144
2049,2172
2082,2197
2098,2195
2136,2197
2158,2200
2177,2205
2204,2218
